,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,311,0,https://pic2.zhimg.com/v2-5cf276449414a3b11539cdb170bb78c5_is.jpg,https://pic2.zhimg.com/v2-5cf276449414a3b11539cdb170bb78c5_{size}.jpg,[],7652,0,软甜可口,1057f1df42f55a3d54d7f5a33d41ac6e,False,False,False,False,Lunalovesyou,people,http://www.zhihu.com/api/v4/people/1057f1df42f55a3d54d7f5a33d41ac6e,merci-99-22,people
1,27,1,https://pic1.zhimg.com/v2-75b4eda180ee3aa9b27f06bfd243c114_is.jpg,https://pic1.zhimg.com/v2-75b4eda180ee3aa9b27f06bfd243c114_{size}.jpg,[],4511,0,社区广场舞比赛第一名。,ca838d0bc6df38494ce701bfe4ed3d80,False,False,False,False,吃不胖的小猫,people,http://www.zhihu.com/api/v4/people/ca838d0bc6df38494ce701bfe4ed3d80,eudora-68-31,people
2,4,0,https://pic2.zhimg.com/v2-4985433d1f09c9ec52a907df3b99bac9_is.jpg,https://pic2.zhimg.com/v2-4985433d1f09c9ec52a907df3b99bac9_{size}.jpg,[],875,0,传播学 / 没有特长 / 对啥都有兴趣,ed0e9485717e5f6d075131315e9aa0d4,False,False,False,False,泪一脸,people,http://www.zhihu.com/api/v4/people/ed0e9485717e5f6d075131315e9aa0d4,lu-luan-luan,people
3,80,4,https://pic3.zhimg.com/v2-60245ae62a8f6a549ecd30bb546b056e_is.jpg,https://pic3.zhimg.com/v2-60245ae62a8f6a549ecd30bb546b056e_{size}.jpg,[],63382,1,做一个青史留名的好老公,6e8e5b1439390b02c781b210bd8e4769,False,False,False,False,顾宇,people,http://www.zhihu.com/api/v4/people/6e8e5b1439390b02c781b210bd8e4769,hubertuswi,people
4,85,0,https://pic2.zhimg.com/v2-352ec59a4c01b38033c9d3f3f04efd61_is.jpg,https://pic2.zhimg.com/v2-352ec59a4c01b38033c9d3f3f04efd61_{size}.jpg,[],3720,0,我不胖 真的 我只是脸大,25eb5f345ccfb3ed637e2c1bceadb923,False,False,False,False,软清,people,http://www.zhihu.com/api/v4/people/25eb5f345ccfb3ed637e2c1bceadb923,bu-ai-chi-ying-tao,people
5,66,13,https://pic1.zhimg.com/v2-045a92a416f08e9aa2d87e2d7a39e9e4_is.jpg,https://pic1.zhimg.com/v2-045a92a416f08e9aa2d87e2d7a39e9e4_{size}.jpg,[],14958,0,慢养孩子，静待花开。,8efe8fc03d002cc07cf94269d653e99a,False,False,False,False,帅姐姐就是原老师,people,http://www.zhihu.com/api/v4/people/8efe8fc03d002cc07cf94269d653e99a,yuanshuai1020,people
6,1179,3,https://pic3.zhimg.com/v2-87fa7b640d561eb95c3829e27c529636_is.jpg,https://pic3.zhimg.com/v2-87fa7b640d561eb95c3829e27c529636_{size}.jpg,[],2380,1,知乎最后一个处男,b73ae1392b67586468afc607f72dd54e,False,False,False,False,Nao-diamond,people,http://www.zhihu.com/api/v4/people/b73ae1392b67586468afc607f72dd54e,nao-diamond,people
7,367,0,https://pic4.zhimg.com/d05507bbff7d5073ff1879278965a253_is.jpg,https://pic4.zhimg.com/d05507bbff7d5073ff1879278965a253_{size}.jpg,[],16285,1,脾气不好，别逗我笑,80c413cd4ce4b2928d48e324f5bdc6bf,False,False,False,False,大momo,people,http://www.zhihu.com/api/v4/people/80c413cd4ce4b2928d48e324f5bdc6bf,da-momo-93,people
8,3,0,https://pic3.zhimg.com/v2-e2786fdffaffa829092a063baaa282ea_is.jpg,https://pic3.zhimg.com/v2-e2786fdffaffa829092a063baaa282ea_{size}.jpg,[],1066,0,,c2ad3a8338aedf2ba0588a4b1cf1722f,False,False,False,False,Joyce,people,http://www.zhihu.com/api/v4/people/c2ad3a8338aedf2ba0588a4b1cf1722f,joyce-67-51,people
9,2,0,https://pic2.zhimg.com/v2-872f6fae0df34ff5668ffd708ba26fad_is.jpg,https://pic2.zhimg.com/v2-872f6fae0df34ff5668ffd708ba26fad_{size}.jpg,[],290,0,热爱生活，优容人性,c76a06a8e01559c69c90cb762a1ae193,False,False,False,False,Vianna,people,http://www.zhihu.com/api/v4/people/c76a06a8e01559c69c90cb762a1ae193,xiao-wei-71-27-54,people
